Rank,Player,Age,Tm,First,Pts_Won,Pts_Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG_pct,X3P_pct,FT_pct,WS,WS48,WinPct,pra,Fitted,SeasonID,WinPct_Rounded,PositiveMedia,NegativeMedia,Media
1,LeBron James,28,MIA,120,1207,1210,0.998,76,37.9,26.8,8,7.3,1.7,0.9,0.565,0.406,0.753,19.3,0.322,0.80488,42.1,0,2013,8,1,0,1
2,Kevin Durant,24,OKC,0,765,1210,0.632,81,38.5,28.1,7.9,4.6,1.4,1.3,0.51,0.416,0.905,18.9,0.291,0.73171,40.6,0,2013,7,0,0,0
3,Carmelo Anthony,28,NYK,1,475,1210,0.393,67,37,28.7,6.9,2.6,0.8,0.5,0.449,0.379,0.83,9.5,0.184,0.65854,38.2,0,2013,7,0,0,0
1,LeBron James,27,MIA,85,1074,1210,0.888,62,37.5,27.1,7.9,6.2,1.9,0.8,0.531,0.362,0.771,14.5,0.298,0.69697,41.2,0,2012,7,0,0,0
2,Kevin Durant,23,OKC,24,889,1210,0.735,66,38.6,28,8,3.5,1.3,1.2,0.496,0.387,0.86,12.2,0.23,0.71212,39.5,0,2012,7,0,0,0
3,Chris Paul,26,LAC,6,385,1210,0.318,60,36.4,19.8,3.6,9.1,2.5,0.1,0.478,0.371,0.861,12.7,0.278,0.60606,32.5,0,2012,6,0,0,0
1,Derrick Rose,22,CHI,113,1182,1210,0.977,81,37.4,25,4.1,7.7,1,0.6,0.445,0.332,0.858,13.1,0.208,0.7561,36.8,0,2011,8,1,0,1
2,Dwight Howard,25,ORL,3,643,1210,0.531,78,37.6,22.9,14.1,1.4,1.4,2.4,0.593,0,0.596,14.4,0.235,0.63415,38.4,0,2011,6,0,0,0
3,LeBron James,26,MIA,4,522,1210,0.431,79,38.8,26.7,7.5,7,1.6,0.6,0.51,0.33,0.759,15.6,0.244,0.70732,41.2,0,2011,7,0,2,-2
1,LeBron James,25,CLE,116,1205,1230,0.98,76,39,29.7,7.3,8.6,1.6,1,0.503,0.333,0.767,18.5,0.299,0.7439,45.6,0,2010,7,0,0,0
2,Kevin Durant,21,OKC,4,609,1230,0.495,82,39.5,30.1,7.6,2.8,1.4,1,0.476,0.365,0.9,16.1,0.238,0.60976,40.5,0,2010,6,0,0,0
3,Kobe Bryant,31,LAL,0,599,1230,0.487,73,38.8,27,5.4,5,1.5,0.3,0.456,0.329,0.811,9.4,0.16,0.69512,37.4,0,2010,7,0,0,0
